Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
125,Aurelion Sol,"27,790",2.7:1,51.25%,2.7%,1.2%,196.22,"12,715"
126,Yuumi,"27,453",4.71:1,46.38%,2.67%,1.39%,15.77,"7,872"
127,Lissandra,"27,236",2.38:1,50.21%,2.65%,1.44%,182,"11,498"
128,Kayle,"27,062",1.96:1,51.49%,2.63%,0.56%,211.17,"12,556"
129,Shyvana,"27,004",2.25:1,50.56%,2.63%,1%,209.97,"12,725"
130,Elise,"26,846",2.5:1,50.1%,2.61%,0.7%,155.68,"11,849"
131,Kog'Maw,"26,619",2.23:1,51.66%,2.59%,1.38%,185.64,"12,528"
132,Udyr,"26,529",2.24:1,49.5%,2.58%,1.76%,182.29,"11,778"
133,Fiora,"26,376",1.6:1,48.06%,2.57%,3.35%,189.29,"12,082"
134,Gangplank,"26,106",2.09:1,47.69%,2.54%,0.77%,208.65,"13,892"
135,Anivia,"26,066",2.73:1,51.22%,2.54%,1.26%,177.43,"11,546"
136,Rammus,"25,308",2.91:1,50.75%,2.46%,6.14%,153.2,"10,920"
137,Kindred,"25,277",2.06:1,46.9%,2.46%,0.68%,178.48,"12,438"
138,Zilean,"25,167",3.07:1,50.94%,2.45%,0.63%,68.38,"9,101"
139,Evelynn,"25,108",2.71:1,48.05%,2.44%,1.56%,170.09,"12,313"
140,Singed,"24,671",1.94:1,51.83%,2.4%,0.48%,190.93,"11,788"
141,Twisted Fate,"24,135",2.21:1,47.67%,2.35%,0.14%,177.59,"12,514"
142,Rell,"23,410",2.8:1,49.25%,2.28%,0.97%,33.47,"8,559"
143,Hecarim,"23,137",2.5:1,47.26%,2.25%,0.83%,192.53,"12,208"
144,Skarner,"23,109",2.89:1,47.35%,2.25%,4.21%,153.48,"10,744"
145,Naafiri,"22,472",2.28:1,51.03%,2.19%,1.82%,176.32,"12,487"
146,Sona,"21,921",2.97:1,51.83%,2.13%,0.1%,31.91,"8,436"
147,Bard,"21,671",3.11:1,49.68%,2.11%,0.41%,37.1,"8,718"
148,Taric,"20,526",2.72:1,51.48%,2%,0.48%,43.19,"8,425"
149,Kennen,"20,085",2.18:1,50.33%,1.95%,0.79%,172.54,"11,558"
150,Cassiopeia,"19,935",2.12:1,50.53%,1.94%,0.82%,186.32,"11,838"
151,Nilah,"19,690",2.19:1,51.77%,1.92%,3.75%,189.46,"12,937"
152,Akshan,"19,469",2.26:1,48.75%,1.89%,1.32%,175.94,"12,805"
153,Azir,"17,388",2.04:1,48.06%,1.69%,0.41%,198.71,"12,069"
154,Qiyana,"17,045",2.15:1,47.3%,1.66%,0.25%,172.13,"12,236"
155,Renata Glasc,"16,823",2.68:1,49.57%,1.64%,0.42%,36.49,"8,406"
156,Annie,"16,656",2.31:1,49.93%,1.62%,0.4%,143.79,"11,132"
157,Rumble,"16,577",2.09:1,47.44%,1.61%,0.33%,177.34,"11,684"
158,Kled,"16,424",2.16:1,50.32%,1.6%,1.08%,168.11,"12,245"
159,Kassadin,"16,233",2.51:1,49.76%,1.58%,0.98%,179.55,"11,968"
160,Zeri,"15,779",2.29:1,48.7%,1.53%,0.25%,218.05,"13,116"
161,Bel'Veth,"14,943",2.21:1,48.5%,1.45%,1.33%,186.39,"12,204"
162,Karthus,"14,270",2.31:1,49.28%,1.39%,0.49%,211.21,"13,318"
163,Olaf,"14,066",1.76:1,46.96%,1.37%,0.66%,183.37,"12,123"
164,Quinn,"13,913",1.99:1,48.41%,1.35%,0.6%,171.9,"12,429"
165,Kalista,"13,355",2.06:1,45.47%,1.3%,0.47%,181.86,"12,611"
166,Taliyah,"13,217",2.3:1,49.31%,1.29%,0.19%,185.3,"12,103"
167,Nidalee,"11,899",2.32:1,42.06%,1.16%,0.14%,150.35,"11,348"
168,Ivern,"9,162",3.19:1,48.92%,0.89%,0.23%,136.35,"10,212"
169,Rek'Sai,"8,809",2.63:1,49.2%,0.86%,0.29%,157.63,"11,733"
