Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
150,Urgot,"18,891",2.01:1,50.47%,2.27%,0.31%,193.94,"12,033"
151,Briar,"18,696",2.14:1,49.91%,2.24%,1.9%,169.4,"12,010"
152,Aurelion Sol,"18,439",2.72:1,50.65%,2.21%,0.67%,195.16,"11,745"
153,Kennen,"18,318",2.06:1,51.35%,2.2%,1.46%,177.07,"11,040"
154,Evelynn,"17,947",2.94:1,49.95%,2.15%,3.54%,160.19,"11,481"
155,Illaoi,"17,897",1.41:1,48.91%,2.15%,3.96%,199.19,"11,629"
156,Yorick,"17,687",1.71:1,49.05%,2.12%,1.75%,209.17,"11,927"
157,Taric,"16,870",2.87:1,52.87%,2.03%,0.36%,37,"7,814"
158,Rek'Sai,"16,066",3.02:1,51.37%,1.93%,0.82%,157.26,"11,302"
159,Olaf,"15,830",1.81:1,51.29%,1.9%,1.24%,192.18,"11,866"
160,Nilah,"15,780",2.24:1,53.26%,1.89%,3.65%,193.76,"12,516"
161,Trundle,"15,219",1.5:1,50.33%,1.83%,0.36%,195.24,"11,998"
162,Kled,"15,052",2.08:1,50.49%,1.81%,0.53%,176.65,"11,732"
163,Ivern,"13,947",3.87:1,50.02%,1.67%,0.7%,130.52,"9,625"
164,Heimerdinger,"13,064",1.88:1,50.5%,1.57%,0.65%,167.53,"10,983"
165,Rammus,"12,273",2.94:1,49.82%,1.47%,2.69%,146.04,"10,197"
166,Annie,"10,602",2.4:1,50.37%,1.27%,0.21%,152.35,"10,547"
167,Naafiri,"10,597",2.17:1,50.26%,1.27%,0.47%,182.58,"11,709"
168,Shyvana,"9,846",2.47:1,48.8%,1.18%,0.22%,208.77,"12,143"
169,Quinn,"8,748",2.06:1,52.16%,1.05%,0.34%,177.4,"12,043"
