Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
97,Samira,"12,783",2.09:1,48.21%,4.26%,6.47%,186.75,"13,099"
98,Talon,"12,763",2.32:1,49.8%,4.26%,1.35%,193.16,"12,695"
99,Vladimir,"12,468",2.22:1,49.93%,4.16%,3.01%,200.11,"11,995"
100,Yuumi,"12,344",4.61:1,45.41%,4.12%,3.63%,14.96,"7,753"
101,Gwen,"11,960",1.78:1,49.36%,3.99%,2.9%,196.99,"12,361"
102,Twitch,"11,740",2.24:1,47.05%,3.92%,3.57%,163.37,"12,569"
103,Kindred,"11,656",2.2:1,49.12%,3.89%,3.63%,179.25,"12,431"
104,Braum,"11,621",2.91:1,50.19%,3.88%,2.27%,28.25,"8,150"
105,Xayah,"11,550",2.4:1,49.37%,3.85%,0.73%,206.37,"12,428"
106,Hecarim,"11,541",2.65:1,49.65%,3.85%,2.9%,199.01,"12,365"
107,Fiddlesticks,"11,412",2.49:1,51.7%,3.81%,1.7%,159.63,"11,655"
108,Neeko,"11,312",2.24:1,48.97%,3.77%,1.53%,90.46,"9,985"
109,Kayle,"11,226",1.86:1,51.49%,3.74%,1.28%,216.03,"12,576"
110,Milio,"11,137",3.65:1,51.01%,3.71%,1.15%,29.47,"7,891"
111,Heimerdinger,"11,017",1.78:1,51.12%,3.67%,2.54%,171.38,"11,665"
112,Ziggs,"10,846",2.38:1,49.76%,3.62%,1.54%,190.7,"12,115"
113,Xin Zhao,"10,805",2.28:1,50.78%,3.6%,0.61%,169.22,"11,785"
114,Janna,"10,760",3.3:1,51.8%,3.59%,1.05%,27.78,"8,078"
115,Elise,"10,756",2.48:1,49.46%,3.59%,3.06%,151.87,"11,762"
116,Orianna,"10,491",2.61:1,48.98%,3.5%,0.95%,194.05,"11,683"
117,Ornn,"10,447",2.43:1,50.77%,3.48%,0.9%,174.34,"10,966"
118,Zac,"10,373",2.97:1,49.16%,3.46%,1.8%,151.15,"10,882"
119,Ryze,"10,164",2.28:1,50.86%,3.39%,0.58%,215.41,"12,370"
120,K'Sante,"10,091",2.01:1,46.87%,3.37%,3.79%,180.88,"11,134"
121,Udyr,"9,794",2.24:1,49.48%,3.27%,2.51%,186.55,"11,818"
122,Camille,"9,707",1.93:1,50.1%,3.24%,2.46%,167.05,"11,612"
123,Urgot,"9,703",2.04:1,51.53%,3.24%,1.11%,195.87,"12,698"
124,Sona,"9,645",3:1,50.45%,3.22%,0.22%,29.93,"8,294"
125,Akshan,"9,542",2.26:1,49.26%,3.18%,3.45%,185.97,"12,945"
126,Bard,"9,383",3.02:1,50.5%,3.13%,0.67%,32.82,"8,600"
127,Rakan,"9,335",2.88:1,50.03%,3.11%,0.39%,32.74,"8,087"
128,Aphelios,"9,249",1.97:1,49.06%,3.09%,0.88%,192.58,"12,348"
129,Aurelion Sol,"9,249",2.64:1,49.68%,3.09%,1.94%,197.48,"12,491"
130,Singed,"9,022",1.9:1,50.52%,3.01%,0.67%,199.54,"11,823"
131,Fiora,"8,987",1.57:1,49.95%,3%,4.77%,196.47,"12,255"
132,Evelynn,"8,877",2.78:1,49.21%,2.96%,4.02%,162.39,"12,034"
133,Gangplank,"8,834",2.14:1,48.8%,2.95%,0.86%,211.52,"13,864"
134,Alistar,"8,782",2.5:1,47.85%,2.93%,0.98%,31.33,"8,070"
135,Rengar,"8,665",2.1:1,45.46%,2.89%,1.77%,188.27,"12,434"
136,Sejuani,"8,408",2.92:1,48.98%,2.8%,0.39%,164.11,"11,124"
137,Kog'Maw,"8,356",2.17:1,50.24%,2.79%,2.31%,188.1,"12,386"
138,Zilean,"8,239",3.13:1,51.29%,2.75%,0.74%,69.11,"8,988"
139,Gnar,"8,189",1.96:1,48.77%,2.73%,0.75%,186.5,"11,864"
140,Anivia,"8,148",2.67:1,51.06%,2.72%,2.36%,169.26,"11,333"
141,Karthus,"7,930",2.26:1,48.84%,2.65%,1.66%,205.15,"13,271"
142,Twisted Fate,"7,826",2.14:1,47.3%,2.61%,0.24%,178.92,"12,414"
143,Zoe,"7,651",2.39:1,47.94%,2.55%,1.16%,125.19,"10,698"
144,Shyvana,"7,544",2.39:1,50.8%,2.52%,0.8%,209.39,"12,581"
145,Rammus,"7,226",2.73:1,49.11%,2.41%,4.99%,153.2,"10,902"
146,Naafiri,"7,191",2.26:1,51.94%,2.4%,2%,183,"12,448"
147,Skarner,"7,071",2.79:1,47.33%,2.36%,4.17%,147.18,"10,522"
148,Lissandra,"7,034",2.36:1,49.19%,2.35%,1.18%,185.94,"11,434"
149,Kassadin,"6,875",2.53:1,50.36%,2.29%,1.91%,185.85,"11,933"
150,Nilah,"6,693",2.18:1,52.02%,2.23%,3.27%,191.82,"12,955"
151,Taliyah,"6,628",2.36:1,50.02%,2.21%,0.71%,192.74,"12,245"
152,Nidalee,"6,350",2.57:1,46.44%,2.12%,0.86%,161.34,"11,638"
153,Rell,"6,317",2.75:1,48.98%,2.11%,0.96%,30.2,"8,401"
154,Qiyana,"6,168",2.11:1,47.91%,2.06%,0.62%,176.68,"12,151"
155,Zeri,"5,903",2.23:1,47.54%,1.97%,0.28%,219.1,"12,946"
156,Taric,"5,678",2.71:1,52.92%,1.89%,0.63%,42.21,"8,305"
157,Cassiopeia,"5,663",2.07:1,52.06%,1.89%,1.38%,192.83,"11,924"
158,Annie,"5,439",2.29:1,49.57%,1.81%,0.74%,149.27,"11,061"
159,Renata Glasc,"5,338",2.72:1,50.73%,1.78%,0.42%,33.17,"8,245"
160,Bel'Veth,"5,301",2.23:1,49.93%,1.77%,1.9%,182.84,"12,100"
161,Quinn,"5,163",1.99:1,49.04%,1.72%,0.78%,178.78,"12,574"
162,Kennen,"5,124",2.08:1,49.3%,1.71%,0.62%,172.1,"11,584"
163,Azir,"5,072",1.9:1,47.63%,1.69%,0.56%,206.02,"12,138"
164,Kalista,"4,417",2.06:1,47.14%,1.47%,0.44%,186.57,"12,644"
165,Rumble,"4,333",2.1:1,48.51%,1.45%,0.24%,173.98,"11,608"
166,Kled,"4,150",2.09:1,51.57%,1.38%,0.67%,173.67,"12,297"
167,Olaf,"4,003",1.69:1,46.24%,1.34%,0.58%,189.71,"12,393"
168,Ivern,"3,167",3.43:1,50.99%,1.06%,0.46%,130.86,"9,990"
169,Rek'Sai,"2,837",2.75:1,50.44%,0.95%,0.63%,159.31,"11,690"
