Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
115,Kindred,"139,112",2.05:1,46.78%,3.15%,0.82%,175.17,"12,460"
116,Riven,"137,785",1.87:1,46.74%,3.12%,0.75%,175.52,"11,820"
117,Aphelios,"134,441",1.94:1,48.98%,3.05%,0.93%,182.52,"12,247"
118,Rammus,"134,209",2.77:1,50.67%,3.04%,6.3%,148.82,"10,833"
119,Orianna,"133,806",2.53:1,48.67%,3.03%,0.75%,181.32,"11,477"
120,Aurelion Sol,"132,344",2.6:1,51.63%,3%,1.44%,193.05,"12,683"
121,Ryze,"130,672",2.17:1,50.39%,2.96%,0.43%,201.1,"12,086"
122,Gnar,"125,133",1.91:1,48.52%,2.84%,0.74%,172.95,"11,617"
123,Rakan,"124,448",2.74:1,48.34%,2.82%,0.46%,33.69,"8,152"
124,Kog'Maw,"118,497",2.15:1,50.92%,2.69%,3.36%,177.07,"12,291"
125,Alistar,"117,153",2.41:1,48.49%,2.66%,0.87%,34.94,"8,207"
126,Milio,"116,088",3.62:1,51.62%,2.63%,0.68%,32.33,"8,116"
127,Shyvana,"114,230",2.31:1,51.44%,2.59%,0.92%,203.84,"12,624"
128,Fiora,"110,435",1.55:1,47.87%,2.5%,2.31%,183.93,"11,979"
129,Lissandra,"107,473",2.24:1,49.62%,2.44%,1.08%,174.41,"11,473"
130,Udyr,"107,360",2.13:1,48.49%,2.43%,1.23%,175.91,"11,654"
131,Sona,"106,364",2.96:1,51.05%,2.41%,0.15%,31.17,"8,514"
132,Naafiri,"105,926",2.24:1,51.37%,2.4%,1.93%,174.14,"12,540"
133,Evelynn,"103,231",2.54:1,47.47%,2.34%,1.48%,154.37,"11,934"
134,Zoe,"102,644",2.35:1,47.39%,2.33%,1.08%,128.01,"10,743"
135,Rell,"102,258",2.78:1,49.54%,2.32%,0.92%,31.91,"8,550"
136,Singed,"100,498",1.83:1,51.06%,2.28%,0.48%,187.41,"11,761"
137,Gangplank,"98,060",2:1,46.93%,2.22%,0.8%,198.68,"13,502"
138,Hecarim,"97,314",2.42:1,46.84%,2.21%,0.99%,183.8,"12,019"
139,Cassiopeia,"96,867",2.03:1,50.55%,2.2%,1.36%,179.29,"11,720"
140,Karthus,"93,019",2.25:1,49.05%,2.11%,0.87%,201.32,"13,164"
141,Nidalee,"91,129",2.34:1,44.38%,2.07%,0.56%,150.13,"11,248"
142,Rengar,"88,403",1.85:1,42.76%,2%,0.9%,174.73,"12,147"
143,Skarner,"87,842",2.7:1,46.1%,1.99%,2.05%,145.77,"10,453"
144,Akshan,"85,355",2.13:1,47.6%,1.94%,1.29%,174.71,"12,781"
145,Twisted Fate,"85,352",2.06:1,47.51%,1.94%,0.17%,169.18,"12,232"
146,Zeri,"84,824",2.25:1,48.44%,1.92%,0.35%,211.79,"12,914"
147,Camille,"84,094",1.81:1,46.47%,1.91%,0.7%,150.95,"11,252"
148,Zilean,"83,898",2.99:1,50.15%,1.9%,0.37%,68.58,"9,103"
149,Elise,"83,754",2.35:1,48.82%,1.9%,0.86%,150.3,"11,723"
150,Anivia,"81,652",2.62:1,50.42%,1.85%,0.95%,158.79,"11,180"
151,Nilah,"81,433",2.19:1,52.97%,1.85%,2.84%,182.89,"12,962"
152,Kennen,"77,860",2.07:1,49.07%,1.77%,0.71%,164.34,"11,325"
153,Kalista,"72,631",1.97:1,46.67%,1.65%,0.64%,178.66,"12,542"
154,Azir,"72,060",1.83:1,46.73%,1.63%,0.42%,192.44,"11,810"
155,Janna,"69,713",3.13:1,50.53%,1.58%,0.19%,31.33,"8,325"
156,Annie,"69,445",2.25:1,49.56%,1.57%,0.48%,138.27,"11,056"
157,Taric,"68,224",2.7:1,52.3%,1.55%,0.4%,42.77,"8,492"
158,Rumble,"67,899",1.99:1,47.26%,1.54%,0.42%,171.61,"11,521"
159,Olaf,"67,839",1.72:1,47.16%,1.54%,0.78%,178.11,"12,058"
160,Bel'Veth,"67,489",2.04:1,47.66%,1.53%,1.07%,180.14,"12,071"
161,Quinn,"65,057",1.91:1,47.45%,1.47%,0.7%,165.23,"12,333"
162,Qiyana,"63,746",2.02:1,45.03%,1.45%,0.23%,165.13,"11,991"
163,Bard,"61,592",2.88:1,48.03%,1.4%,0.33%,38.25,"8,835"
164,Kassadin,"60,745",2.31:1,48.17%,1.38%,0.69%,169.37,"11,817"
165,Taliyah,"55,222",2.16:1,47.95%,1.25%,0.21%,181.57,"12,036"
166,Renata Glasc,"50,958",2.54:1,48.85%,1.16%,0.34%,35.06,"8,404"
167,Kled,"50,411",2.08:1,50.04%,1.14%,0.61%,162.22,"12,167"
168,Ivern,"30,219",2.93:1,47.41%,0.69%,0.19%,131.23,"10,171"
169,Rek'Sai,"27,042",2.4:1,46.48%,0.61%,0.28%,149.78,"11,360"
