Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
115,Sejuani,"4,186",2.97:1,48.54%,3.26%,0.58%,161.22,"11,076"
116,Tryndamere,"4,160",1.72:1,48.34%,3.24%,2.13%,221.86,"13,169"
117,Soraka,"4,135",3:1,51.49%,3.22%,0.85%,27.41,"7,839"
118,Kayle,"4,003",1.92:1,49.56%,3.12%,0.79%,215.05,"12,555"
119,Fiora,"3,973",1.57:1,50.01%,3.1%,3.59%,195.96,"12,317"
120,Rengar,"3,841",2.11:1,47.33%,2.99%,3.04%,186.54,"12,450"
121,Hecarim,"3,840",2.59:1,48.44%,2.99%,1.53%,194.65,"12,273"
122,Ryze,"3,780",2.34:1,49.81%,2.95%,0.41%,213.05,"12,300"
123,Gnar,"3,760",1.89:1,48.14%,2.93%,0.72%,181.54,"11,611"
124,Fiddlesticks,"3,691",2.45:1,48.69%,2.88%,1.14%,153.33,"11,608"
125,Kindred,"3,685",2.18:1,48.52%,2.87%,1.46%,176.72,"12,353"
126,Twitch,"3,669",2.34:1,47.04%,2.86%,1.94%,165.98,"12,649"
127,Sona,"3,655",2.95:1,50.34%,2.85%,0.17%,31.4,"8,384"
128,Heimerdinger,"3,610",1.87:1,52.19%,2.81%,2.24%,170.73,"11,729"
129,Twisted Fate,"3,556",2.26:1,46.71%,2.77%,0.29%,180.52,"12,637"
130,Azir,"3,545",1.96:1,46.06%,2.76%,0.69%,197.55,"11,863"
131,Skarner,"3,532",2.88:1,47.71%,2.75%,5.13%,151.08,"10,715"
132,Gangplank,"3,502",2.09:1,46.97%,2.73%,1.26%,211.73,"14,078"
133,Elise,"3,453",2.5:1,47.47%,2.69%,2.26%,152.97,"11,752"
134,Rell,"3,398",2.79:1,50.24%,2.65%,1.24%,29.92,"8,480"
135,Zac,"3,300",3:1,47.88%,2.57%,0.95%,149.07,"10,815"
136,Urgot,"3,256",2.1:1,52.18%,2.54%,0.7%,193.86,"12,755"
137,Janna,"3,235",3.27:1,50.54%,2.52%,0.55%,29.26,"8,140"
